Name [link],Sources,Hostnames [chip],IP Address(es)[chip],OS Family,Class,Asset Type,Tags [chip],Groups [chip]
0-net-jump-q.vuln.lax.corp.example,"TenableAsset, CrowdStrikeHost",0-net-jump-q.vuln.lax.corp.example,192.168.246.16,Windows,Server,Server,finance,"VDI, London"
1-net-bastion-u.corp.blr.corp.example,"TenableAsset, QualysHostAsset",1-net-bastion-u.corp.blr.corp.example,"192.168.214.147, 10.39.107.129",Windows,Server,Server,dev,Lab
2-sys-mq-s.cloud.iad.corp.example,"Rapid7InsightVMAsset, QualysHostAsset",2-sys-mq-s.cloud.iad.corp.example,10.69.161.209,Linux,Server,Guest,"prod, core","SOX, APAC"
3-ops-jenkins-u.dmz.par.corp.example,Rapid7InsightVMAsset,3-ops-jenkins-u.dmz.par.corp.example,"172.20.151.56, 172.21.0.16",Windows,Workstation,Server,stage,SOX
4-web-db-c.svc.lax.corp.example,Rapid7InsightVMAsset,4-web-db-c.svc.lax.corp.example,10.252.55.138,IOS,Workstation,Server,"lon, fra","Kubernetes, APAC"
5-net-kdc-c.svc.lon.corp.example,TenableAsset,5-net-kdc-c.svc.lon.corp.example,"192.168.196.31, 192.168.136.129",Linux,Server,Server,"web, hipaa",DB Tier
6-sys-proxy-p.svc.lon.corp.example,"QualysHostAsset, Rapid7IVMAsset",6-sys-proxy-p.svc.lon.corp.example,"10.57.29.40, 172.22.104.235",Linux,Server,Server,backup,"Core, EMEA"
7-web-proxy-p.vuln.tok.corp.example,"QualysHostAsset, CrowdStrikeHost",7-web-proxy-p.vuln.tok.corp.example,192.168.208.147,Linux,Server,General,"hipaa, par","SF, VDI"
8-eng-etcd-c.dmz.lax.corp.example,"TenableAsset, CrowdStrikeHost",8-eng-etcd-c.dmz.lax.corp.example,"172.23.133.246, 192.168.188.7",Windows,Server,Server,"oracle, sfo","London, HIPAA"
9-web-backup-q.svc.sfo.corp.example,CrowdStrikeHost,9-web-backup-q.svc.sfo.corp.example,"172.31.60.13, 10.186.216.20",Linux,Server,Server,"dmz, lon","London, Core"
10-app-backup-u.svc.dfw.corp.example,"TenableAsset, Rapid7InsightVMAsset",10-app-backup-u.svc.dfw.corp.example,"192.168.173.209, 192.168.186.56",IOS,Server,Server,"syd, qa","PCI, Web Tier"
11-cis-kong-d.corp.nyc.corp.example,CrowdStrikeHost,11-cis-kong-d.corp.nyc.corp.example,192.168.249.56,IOS,Server,Server,"dev, lab, prod",
12-app-files-s.vuln.blr.corp.example,Rapid7IVMAsset,12-app-files-s.vuln.blr.corp.example,192.168.62.94,Windows,Server,Server,hr,EMEA
13-db-jump-p.cloud.par.corp.example,"QualysHostAsset, CrowdStrikeHost",13-db-jump-p.cloud.par.corp.example,172.21.88.175,Windows,Server,Server,"lab, ams, web",Core
14-eng-proxy-p.svc.dub.corp.example,TenableAsset,14-eng-proxy-p.svc.dub.corp.example,"192.168.106.251, 172.28.180.63",Linux,Server,Server,hipaa,
15-ops-sso-c.corp.par.corp.example,CrowdStrikeHost,15-ops-sso-c.corp.par.corp.example,"10.82.7.247, 192.168.152.56",Windows,Workstation,Server,"ams, backup","Web Tier, Core"
16-db-tomcat-u.vuln.fra.corp.example,CrowdStrikeHost,16-db-tomcat-u.vuln.fra.corp.example,"192.168.145.254, 172.18.104.62",Linux,Server,Server,tok,"Lab, DMZ"
17-app-grafana-p.corp.nyc.corp.example,QualysHostAsset,17-app-grafana-p.corp.nyc.corp.example,"10.40.110.53, 172.22.154.214",Linux,Server,Server,fra,"EMEA, SF"
18-ops-jump-c.dmz.sin.corp.example,"TenableAsset, CrowdStrikeHost",18-ops-jump-c.dmz.sin.corp.example,"10.171.203.117, 172.23.151.154",Linux,Server,General,"hipaa, dev, ams",
19-eng-jenkins-q.corp.lon.corp.example,"TenableAsset, Rapid7IVMAsset",19-eng-jenkins-q.corp.lon.corp.example,"10.3.19.180, 172.22.109.66",Linux,Server,Server,"par, stage, prod",
20-web-kong-u.corp.ams.corp.example,"QualysHostAsset, Rapid7IVMAsset",20-web-kong-u.corp.ams.corp.example,"172.16.238.228, 192.168.98.140",Linux,Workstation,Server,dub,"London, SOX"
