cve_id,title,description,cvss_v2_base_score,cvss_v3_base_score,cvss_v2_severity,cvss_v3_severity,cvss_v2_vector,cvss_v3_vector,active_risk_score,url,published_date,added_date,modified_date,is_exploitable,is_exploited_in_the_wild,is_cisa_kev,is_ai_generated_cvss_score,is_emergent_threat,epss_score,epss_percentile
CVE-2010-66178,PostgreSQL Command Injection,"PostgreSQL is vulnerable to command injection, which may allow an attacker to impact confidentiality, integrity, or availability.",5.6,3.8,MEDIUM,LOW,AV:N/AC:L/Au:N/C:C/I:C/A:C,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,4.59,https://nvd.nist.gov/vuln/detail/CVE-2010-66178,2023-09-30,2023-11-07,2024-09-21,True,False,False,False,True,0.9374,78.79
CVE-2022-76261,OpenSSL Insecure Deserialization,"OpenSSL is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",8.3,5.4,HIGH,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:L/A:L,9.1,https://nvd.nist.gov/vuln/detail/CVE-2022-76261,2011-08-13,2011-12-13,2012-06-27,True,True,True,False,True,0.3648,87.05
CVE-2019-18324,Kubernetes API Server Path Traversal,"Kubernetes API Server is vulnerable to path traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",6.1,4.5,MEDIUM,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,0.25,https://nvd.nist.gov/vuln/detail/CVE-2019-18324,2015-05-20,2015-09-26,2016-01-26,True,False,False,True,True,0.7359,53.15
CVE-2017-21412,Fortinet FortiOS Information Disclosure,"Fortinet FortiOS is vulnerable to information disclosure, which may allow an attacker to impact confidentiality, integrity, or availability.",5.7,4.0,MEDIUM,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.05,https://nvd.nist.gov/vuln/detail/CVE-2017-21412,2022-08-04,2022-12-19,2023-08-06,True,True,False,False,True,0.932,79.31
CVE-2013-71498,VMware ESXi Remote Code Execution,"VMware ESXi is vulnerable to remote code execution, which may allow an attacker to impact confidentiality, integrity, or availability.",0.1,7.2,LOW,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,4.97,https://nvd.nist.gov/vuln/detail/CVE-2013-71498,2018-11-13,2019-02-26,2019-10-30,False,False,True,True,True,0.6198,67.7
CVE-2022-42951,MySQL Authentication Bypass,"MySQL is vulnerable to authentication bypass, which may allow an attacker to impact confidentiality, integrity, or availability.",7.6,4.8,HIGH,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.14,https://nvd.nist.gov/vuln/detail/CVE-2022-42951,2007-01-08,2007-05-07,2008-01-01,False,False,False,False,True,0.6943,77.6
CVE-2007-87302,Chrome Directory Traversal,"Chrome is vulnerable to directory traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",2.5,0.6,LOW,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,0.21,https://nvd.nist.gov/vuln/detail/CVE-2007-87302,2006-03-19,2006-04-12,2006-10-26,True,True,True,False,False,0.9732,38.28
CVE-2025-67652,Linux Kernel Directory Traversal,"Linux Kernel is vulnerable to directory traversal, which may allow an attacker to impact confidentiality, integrity, or availability.",9.0,3.7,CRITICAL,LOW,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.91,https://nvd.nist.gov/vuln/detail/CVE-2025-67652,2018-01-18,2018-04-30,2018-12-15,True,True,False,False,False,0.284,75.91
CVE-2019-79508,Kubernetes API Server Cross-Site Scripting,"Kubernetes API Server is vulnerable to cross-site scripting, which may allow an attacker to impact confidentiality, integrity, or availability.",1.3,2.9,LOW,LOW,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,5.07,https://nvd.nist.gov/vuln/detail/CVE-2019-79508,2023-11-27,2024-05-17,2024-09-28,True,False,False,True,True,0.663,86.58
CVE-2019-42412,Chrome Insecure Deserialization,"Chrome is vulnerable to insecure deserialization, which may allow an attacker to impact confidentiality, integrity, or availability.",7.5,8.9,HIGH,HIGH,AV:L/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,5.74,https://nvd.nist.gov/vuln/detail/CVE-2019-42412,2020-08-28,2020-10-21,2020-11-09,False,True,True,True,False,0.2321,28.11
