Name,Agents [r],Exclusions [chip],Last Modified,Modified by [chip],Created on,Created by [chip],Version [r]
Workstations - Dev,7570,devtools,"Jul 17, 2025 at 12:20 AM UTC",Mia Young,"Jul 11, 2021 at 05:21 AM UTC",pbrown,2.13.9
Android Agents - Dublin,7047,usb,"Feb 01, 2024 at 02:08 PM UTC",Emma Johnson,"Jan 26, 2023 at 10:17 PM UTC",hwright,2.3.1
Berlin Office,9918,backups,"Jul 04, 2025 at 06:42 AM UTC",Elliot Rodriguez,"Jun 29, 2024 at 05:51 PM UTC",ethomas,4.0.2
Bangalore Office,5073,backups,"Mar 15, 2023 at 08:10 AM UTC",Casey Wright,"Nov 19, 2022 at 06:39 AM UTC",eclark,2.3.12
Android Agents - Austin,3362,updates,"Jul 10, 2025 at 03:16 PM UTC",Hayden Taylor,"May 16, 2025 at 02:54 AM UTC",myoung40,2.5.10
Stockholm iOS,4555,usb,"May 08, 2025 at 10:13 PM UTC",Emerson Hall,"Jun 27, 2022 at 04:41 AM UTC",ayoung,4.14.20
Servers - QA,2921,cache,"Nov 27, 2024 at 02:10 AM UTC",Cameron Allen,"Sep 16, 2023 at 05:20 AM UTC",acarter,7.14.14
Bangalore iOS,4181,,"Oct 31, 2023 at 03:53 PM UTC",Mia Clark,"Aug 04, 2021 at 07:22 PM UTC",cscott,5.1.2
Servers - QA,6261,drivers,"Nov 13, 2024 at 10:51 AM UTC",Reese Walker,"Nov 28, 2021 at 11:38 AM UTC",arobinson,7.9.5
Policy: EDR Required,8795,backups,"Dec 18, 2023 at 02:23 AM UTC",Jack Carter,"Sep 04, 2023 at 07:50 AM UTC",inelson,7.6.9
Policy: ISO 27001 Baseline,5022,updates,"Jul 05, 2024 at 08:07 PM UTC",Ethan Jackson,"Jul 04, 2021 at 02:13 AM UTC",sclark96,5.9.17
Exclude: drivers,408,,"Aug 01, 2025 at 10:05 AM UTC",Chloe Anderson,"Jul 24, 2025 at 06:09 PM UTC",sthompson,6.11.20
Exclude: temp,6663,backups,"Aug 12, 2025 at 08:55 AM UTC",Alex Harris,"Jun 27, 2022 at 09:22 AM UTC",escott,1.4.20
Linux Agents - Berlin,5375,cache,"Jan 08, 2022 at 10:12 PM UTC",Skyler Jackson,"Jul 14, 2020 at 10:10 PM UTC",ewhite,7.4.8
Windows Agents - Bangalore,7089,updates,"Jan 19, 2025 at 04:35 AM UTC",Emma Nelson,"Jan 03, 2024 at 11:31 PM UTC",janderson,3.2.4
San Francisco HR,8323,vpn,"Aug 19, 2024 at 01:05 PM UTC",Drew Johnson,"May 30, 2024 at 04:41 PM UTC",hallen,4.2.1
macOS Agents - Sydney,60,"backups, logs","Aug 06, 2023 at 06:02 PM UTC",Mason Wright,"Jun 14, 2020 at 12:04 AM UTC",jtaylor,4.15.20
Windows Edge - Prod,5445,,"May 11, 2025 at 01:14 AM UTC",Liam Anderson,"Sep 27, 2024 at 05:57 PM UTC",abrown,5.7.18
Android Workstations - QA,8718,devtools,"Nov 22, 2024 at 10:38 PM UTC",Taylor Allen,"Sep 06, 2023 at 09:02 AM UTC",ethomas,2.4.9
iOS Agents - Chicago,3198,games,"May 14, 2025 at 10:28 AM UTC",Taylor Rodriguez,"Oct 28, 2024 at 02:01 AM UTC",rgreen67,5.10.12
Data Science - macOS,7163,usb,"Aug 04, 2025 at 06:54 AM UTC",Noah Smith,"Mar 24, 2024 at 12:57 AM UTC",onelson,6.1.0
Amsterdam Security,7685,"devtools, usb","Nov 25, 2024 at 08:20 AM UTC",Morgan Thompson,"Aug 05, 2023 at 06:54 AM UTC",crobinson,2.3.10
Zurich iOS,7097,temp,"Jun 12, 2025 at 12:35 PM UTC",Avery Green,"Sep 27, 2023 at 08:13 AM UTC",jbaker,1.13.8
Kiosks - Staging,1110,games,"Jun 09, 2025 at 01:56 PM UTC",Jordan Green,"May 27, 2022 at 03:00 AM UTC",hrobinson,1.6.8
Linux Edge - Dev,9307,usb,"Sep 29, 2023 at 11:42 PM UTC",Isabella Scott,"Aug 20, 2020 at 10:09 PM UTC",ntaylor,2.8.11
Exclude: drivers,1199,updates,"Jul 16, 2025 at 07:44 AM UTC",Avery Baker,"Feb 03, 2021 at 11:39 PM UTC",rbrown,5.7.12
Sydney Office,351,logs,"Aug 30, 2024 at 11:06 AM UTC",Mason Jackson,"Aug 26, 2023 at 05:38 AM UTC",crodriguez,3.0.2
iOS Agents - New York,5516,cache,"Aug 08, 2023 at 12:19 PM UTC",Hayden Carter,"Apr 09, 2023 at 09:22 AM UTC",iclark,7.10.4
Linux Edge - Dev,6643,devtools,"Dec 03, 2024 at 11:21 AM UTC",Casey Scott,"Aug 16, 2024 at 12:10 AM UTC",rbrown,2.6.3
Linux Agents - Sydney,308,temp,"Jun 08, 2025 at 03:43 AM UTC",Jamie Thomas,"Apr 02, 2024 at 12:46 AM UTC",mclark,1.7.0
VDI - Dev,5044,logs,"Feb 08, 2025 at 11:35 PM UTC",Charlie Young,"Nov 10, 2024 at 02:35 AM UTC",orobinson37,1.5.11
macOS Agents - Stockholm,3721,backups,"Mar 23, 2023 at 03:06 AM UTC",Drew Young,"Nov 22, 2022 at 02:43 AM UTC",rscott,1.4.17
Stockholm macOS,1385,devtools,"Mar 19, 2024 at 02:35 PM UTC",Chris Nelson,"Feb 16, 2023 at 09:29 PM UTC",agreen6,7.4.17
Windows Agents - Singapore,7422,"temp, games","Jan 13, 2023 at 07:52 AM UTC",Reese Anderson,"Sep 21, 2021 at 01:30 PM UTC",cthomas,1.15.10
