ID [link],Title,Risk Score [c],CVSS Score [c],Exploitable [boolean|c],EPSS Score [r],Affected Assets [link|r],Vulnerabilities [link|r],First Detected,Last Detected
CVE-2024-62436,Apache HTTP Server Path Traversal,7.2,3.0,True,91%,78,20,2024-09-26 06:24:52 PM,2024-10-19 06:24:52 PM
CVE-2016-15454,Windows SMBv3 Remote Code Execution,6.19,9.8,True,08%,37,7,2025-05-20 06:24:52 PM,2025-07-06 06:24:52 PM
CVE-2015-49402,OpenSSL Padding Oracle Vulnerability,5.18,7.2,True,80%,67,1,2024-10-04 06:24:52 PM,2024-11-24 06:24:52 PM
CVE-2020-60752,Docker Privilege Escalation,6.97,7.9,False,72%,88,5,2025-02-04 06:24:52 PM,2025-03-06 06:24:52 PM
CVE-2017-66993,Kubernetes API Misconfiguration,0.39,9.1,True,64%,43,1,2025-05-07 06:24:52 PM,2025-05-15 06:24:52 PM
CVE-2022-15561,SQL Injection in Admin Panel,3.42,2.0,False,14%,119,15,2025-04-22 06:24:52 PM,2025-05-25 06:24:52 PM
CVE-2023-50782,PHP CGI Argument Injection,8.34,6.2,False,14%,37,23,2024-09-25 06:24:52 PM,2024-10-18 06:24:52 PM
CVE-2018-20475,Nginx Cache Poisoning,4.38,6.8,False,12%,95,4,2024-08-27 06:24:52 PM,2024-10-09 06:24:52 PM
CVE-2015-33698,Linux Kernel LPE via OverlayFS,6.41,3.5,True,49%,18,6,2025-02-12 06:24:52 PM,2025-03-17 06:24:52 PM
CVE-2022-73920,Java Spring Remote Code Execution,1.97,7.4,False,12%,36,34,2024-08-04 06:24:52 PM,2024-09-23 06:24:52 PM
CVE-2016-64997,Log4j JNDI Injection,4.78,4.7,True,40%,85,13,2025-05-11 06:24:52 PM,2025-07-09 06:24:52 PM
CVE-2020-98562,SolarWinds Orion API Exposure,9.38,6.9,False,50%,12,5,2024-08-01 06:24:52 PM,2024-08-09 06:24:52 PM
CVE-2020-4390,Zimbra Auth Bypass,5.54,1.4,False,44%,97,18,2024-12-19 06:24:52 PM,2025-02-01 06:24:52 PM
CVE-2015-90808,Chrome Use-After-Free,6.76,7.4,False,73%,103,39,2024-12-30 06:24:52 PM,2025-02-26 06:24:52 PM
CVE-2022-6027,Mozilla Firefox Memory Corruption,1.98,8.5,False,54%,76,20,2024-08-15 06:24:52 PM,2024-09-01 06:24:52 PM
CVE-2024-6461,Microsoft Exchange SSRF,4.75,0.1,True,31%,43,17,2024-10-02 06:24:52 PM,2024-11-11 06:24:52 PM
CVE-2016-16832,Adobe Acrobat JS Engine Overflow,5.12,1.0,False,87%,50,39,2025-07-11 06:24:52 PM,2025-07-27 06:24:52 PM
CVE-2024-87667,Fortinet SSL VPN Path Traversal,1.79,5.3,False,23%,60,8,2024-11-24 06:24:52 PM,2025-01-18 06:24:52 PM
