CVE,Title,Risk [c],CVSS [c],CISA KEV [boolean|c],EPSS,Affected Assets [r],Findings [r],First Detected,Last Detected
CVE-2024-62436,Apache HTTP Server Path Traversal,7.2,3.0,True,0.918,78,20,2024-09-26 06:24:52 PM,2024-10-19 06:24:52 PM
CVE-2016-15454,Windows SMBv3 Remote Code Execution,6.19,9.8,True,0.081,37,7,2025-05-20 06:24:52 PM,2025-07-06 06:24:52 PM
CVE-2015-49402,OpenSSL Padding Oracle Vulnerability,5.18,7.2,True,0.808,67,1,2024-10-04 06:24:52 PM,2024-11-24 06:24:52 PM
CVE-2020-60752,Docker Privilege Escalation,6.97,7.9,False,0.726,88,5,2025-02-04 06:24:52 PM,2025-03-06 06:24:52 PM
CVE-2017-66993,Kubernetes API Misconfiguration,0.39,9.1,True,0.64,43,1,2025-05-07 06:24:52 PM,2025-05-15 06:24:52 PM
CVE-2022-15561,SQL Injection in Admin Panel,3.42,2.0,False,0.145,119,15,2025-04-22 06:24:52 PM,2025-05-25 06:24:52 PM
CVE-2023-50782,PHP CGI Argument Injection,8.34,6.2,False,0.014,37,23,2024-09-25 06:24:52 PM,2024-10-18 06:24:52 PM
CVE-2018-20475,Nginx Cache Poisoning,4.38,6.8,False,0.122,95,4,2024-08-27 06:24:52 PM,2024-10-09 06:24:52 PM
CVE-2015-33698,Linux Kernel LPE via OverlayFS,6.41,3.5,True,0.049,18,6,2025-02-12 06:24:52 PM,2025-03-17 06:24:52 PM
CVE-2022-73920,Java Spring Remote Code Execution,1.97,7.4,False,0.412,36,34,2024-08-04 06:24:52 PM,2024-09-23 06:24:52 PM
CVE-2016-64997,Log4j JNDI Injection,4.78,4.7,True,0.408,85,13,2025-05-11 06:24:52 PM,2025-07-09 06:24:52 PM
CVE-2020-98562,SolarWinds Orion API Exposure,9.38,6.9,False,0.508,12,5,2024-08-01 06:24:52 PM,2024-08-09 06:24:52 PM
CVE-2020-4390,Zimbra Auth Bypass,5.54,1.4,False,0.445,97,18,2024-12-19 06:24:52 PM,2025-02-01 06:24:52 PM
CVE-2015-90808,Chrome Use-After-Free,6.76,7.4,False,0.733,103,39,2024-12-30 06:24:52 PM,2025-02-26 06:24:52 PM
CVE-2022-6027,Mozilla Firefox Memory Corruption,1.98,8.5,False,0.548,76,20,2024-08-15 06:24:52 PM,2024-09-01 06:24:52 PM
CVE-2024-6461,Microsoft Exchange SSRF,4.75,0.1,True,0.311,43,17,2024-10-02 06:24:52 PM,2024-11-11 06:24:52 PM
CVE-2016-16832,Adobe Acrobat JS Engine Overflow,5.12,1.0,False,0.878,50,39,2025-07-11 06:24:52 PM,2025-07-27 06:24:52 PM
CVE-2024-87667,Fortinet SSL VPN Path Traversal,1.79,5.3,False,0.238,60,8,2024-11-24 06:24:52 PM,2025-01-18 06:24:52 PM
CVE-2023-68960,Cisco ASA DNS Rebinding,5.21,2.4,True,0.631,17,27,2024-10-30 06:24:52 PM,2024-11-20 06:24:52 PM
CVE-2020-22826,VMware ESXi Shell Injection,1.77,3.9,False,0.98,53,36,2025-06-05 06:24:52 PM,2025-06-16 06:24:52 PM
CVE-2023-29055,Citrix ADC Directory Traversal,2.0,3.7,True,0.497,9,31,2025-06-23 06:24:52 PM,2025-06-27 06:24:52 PM
CVE-2018-13103,F5 BIG-IP SSRF,9.03,3.9,False,0.674,1,37,2024-08-10 06:24:52 PM,2024-08-20 06:24:52 PM
CVE-2023-81025,Drupal Remote Code Execution,5.7,0.2,True,0.545,94,10,2025-04-19 06:24:52 PM,2025-06-03 06:24:52 PM
CVE-2021-76728,Jenkins Script Console Exposure,0.92,5.0,True,0.743,101,36,2025-02-19 06:24:52 PM,2025-03-15 06:24:52 PM
CVE-2022-4006,Jira XML External Entity Injection,7.15,7.7,False,0.496,50,6,2024-10-14 06:24:52 PM,2024-10-18 06:24:52 PM
