finding_id,cve_id,last_detected,title,cvss_v3_base_score,cvss_v3_severity
FIND-00001,CVE-2025-71610,2024-07-18 03:17:19 PM,Kubernetes API Server Authentication Bypass,5.1,MEDIUM
FIND-00002,CVE-2019-92458,2024-01-15 04:27:03 PM,Apache HTTP Server Command Injection,3.9,LOW
FIND-00003,CVE-2017-54078,2024-03-05 02:50:54 PM,Kubernetes API Server Command Injection,4.6,MEDIUM
FIND-00004,CVE-2024-40494,2024-08-05 12:42:45 PM,Chrome Command Injection,2.3,LOW
FIND-00005,CVE-2017-03763,2024-02-09 06:09:33 PM,Linux Kernel Command Injection,6.9,MEDIUM
FIND-00006,CVE-2018-15734,2025-01-15 07:49:48 AM,VMware ESXi Directory Traversal,4.3,MEDIUM
FIND-00007,CVE-2015-82292,2024-11-09 10:51:28 AM,PostgreSQL Remote Code Execution,9.9,CRITICAL
FIND-00008,CVE-2017-87236,2024-12-08 02:25:47 PM,Kubernetes API Server Information Disclosure,3.8,LOW
FIND-00009,CVE-2023-55320,2024-05-06 12:04:09 AM,Nginx Cross-Site Scripting,3.9,LOW
FIND-00010,CVE-2025-74393,2024-03-10 04:34:56 PM,Linux Kernel Privilege Escalation,0.5,LOW
FIND-00011,CVE-2015-60892,2024-04-12 08:56:11 AM,Fortinet FortiOS Information Disclosure,4.6,MEDIUM
FIND-00012,CVE-2016-93227,2025-01-24 07:24:39 AM,Citrix ADC SQL Injection,8.9,HIGH
FIND-00013,CVE-2022-09306,2024-10-02 07:31:38 PM,Fortinet FortiOS Privilege Escalation,9.9,CRITICAL
FIND-00014,CVE-2015-03283,2024-07-22 08:11:05 PM,Windows Server Information Disclosure,7.7,HIGH
FIND-00015,CVE-2023-90368,2024-02-02 02:21:01 AM,PostgreSQL Directory Traversal,0.4,LOW
FIND-00016,CVE-2021-43605,2024-03-11 06:23:55 AM,OpenSSL SQL Injection,6.8,MEDIUM
FIND-00017,CVE-2014-09685,2025-05-20 08:11:20 PM,Linux Kernel Path Traversal,3.9,LOW
FIND-00018,CVE-2019-88576,2025-01-10 09:46:38 AM,Docker Engine Insecure Deserialization,1.0,LOW
FIND-00019,CVE-2023-42256,2024-04-20 03:08:42 AM,Docker Engine Command Injection,5.8,MEDIUM
FIND-00020,CVE-2025-79069,2025-10-25 04:50:30 PM,OpenSSL Insecure Deserialization,8.4,HIGH
FIND-00021,CVE-2018-25110,2025-02-18 10:22:57 PM,Kubernetes API Server Remote Code Execution,0.7,LOW
FIND-00022,CVE-2015-05104,2025-10-10 04:46:32 PM,Cisco ASA Cross-Site Scripting,9.6,CRITICAL
FIND-00023,CVE-2016-45301,2024-01-07 07:28:41 AM,PostgreSQL Remote Code Execution,4.7,MEDIUM
FIND-00024,CVE-2025-51453,2025-02-21 10:49:57 PM,Chrome Remote Code Execution,3.0,LOW
FIND-00025,CVE-2022-83024,2025-02-14 07:24:44 PM,MySQL SQL Injection,4.8,MEDIUM
