Type [icon|c],Remediation Name [link],Risk Score [r],Assets [r],Images [r],Vulnerabilites [r],Threat intel [link|r]
Onprem,Upgrade Go to 4.5.18,775,900,177,901,16
Onprem,Reconfigure Node.js with secure defaults,851,5076,1152,1433,19
cloud,Reconfigure Alpine with secure defaults,786,7995,N/A,1050,9
cloud,Disable TLS 1.0,55,7023,870,464,10
cloud,Patch OpenSSL to 9.10.6,816,9364,1420,156,0
Onprem,Enable SELinux,419,7906,1323,905,2
cloud,Reconfigure OpenSSH with secure defaults,558,4136,150,1209,20
Onprem,Update container base image to alpine:3.19,937,5881,1093,1195,10
Onprem,Apply cumulative security update KB8166008 for Windows Server,813,4271,312,801,11
cloud,Apply Canonical security update KB4045900,944,6956,1338,895,16
cloud,Apply SUSE security update KB2988694,198,3840,80,784,3
cloud,Apply cumulative security update KB1382483 for Windows 11,683,8401,1429,955,9
Onprem,Patch Java JRE to 2.4.16,914,3423,1128,998,5
cloud,Update EC2 AMI image to 5.11.27,719,1605,1348,1358,9
Onprem,Enable MFA,629,9108,274,1203,15
Onprem,Remove vulnerable package and reinstall latest,658,7341,1449,217,16
Onprem,Remove vulnerable package and reinstall latest,530,6776,778,1413,17
cloud,Update container base image to distroless:base,741,8442,567,348,7
cloud,Enable Disk Encryption,860,3334,273,4,6
Onprem,Reconfigure RabbitMQ with secure defaults,224,31,595,98,15
cloud,Apply Microsoft security update KB9621654,643,5685,120,89,8
cloud,Apply cumulative security update KB4876766 for Windows 11,827,2040,1200,1327,20
Onprem,Update AKS AMI image to 2.0.1,890,6728,1179,914,3
cloud,Reconfigure Debian with secure defaults,951,6826,1230,1191,2
cloud,Patch Linux kernel to 2.12.15,919,1387,N/A,1119,20
cloud,Apply Canonical security update KB1463443,703,6156,1097,462,4
Onprem,Remove vulnerable package and reinstall latest,828,3647,832,149,9
cloud,Update container base image to alpine:3.19,227,7729,797,482,13
cloud,Apply cumulative security update KB6123272 for Windows 10,862,2912,1050,906,0
cloud,Rotate API keys and credentials,620,8704,477,1226,10
cloud,Disable TLS 1.0,250,3599,341,485,19
Onprem,Upgrade OpenJDK to 6.6.18,945,9407,1198,1116,10
cloud,Enable Secure Boot,853,1158,N/A,401,14
Onprem,Disable TLS 1.1,861,3847,1310,998,15
cloud,Apply cumulative security update KB9095322 for Windows 10,877,179,1030,154,9
Onprem,Reconfigure Alpine with secure defaults,606,3265,1194,619,2
cloud,Disable FTP,639,377,1341,1170,4
cloud,Remove vulnerable package and reinstall latest,55,1606,9,780,20
Onprem,Enable Disk Encryption,259,2113,548,185,5
Onprem,Patch MongoDB to 10.18.1,943,2270,174,495,2
Onprem,Apply Oracle security update KB1225138,208,7514,233,867,2
