Remediation Action [stack][link],Description,Event Type,Findings[r],Assets[r],Images[r],Campaign[link|r],Actors[link|r],Automations[link|r],Risk Reduction,Progress [progress],Environment,Source
Upgrade pip to version 23.3 (batch 1),Brief explanation and category for this remediation item,Vulnerability,954,112,38,9,2,2,3.4%,86%,Hybrid,SIEM
Upgrade requests to version 2.32.4 (batch 2),Short remediation description and category label for this action,Misconfiguration,403,2114,-,-,1,3,4.7%,39%,Hybrid,Scan Engine
Upgrade golang.org/x/net to version 0.38.0 (batch 3),Suitable short description / category for this remediation,Vulnerability,710,2856,4,9,-,-,4.0%,84%,On-Premises,Scan Engine
Upgrade to the latest version of Google Chrome - Wave 4,Suitable short description / category for this remediation,Vulnerability,744,514,37,-,1,-,4.8%,31%,On-Premises,Agent
"2025-07 Cumulative Update for Microsoft Windows 10, version 1607 (KB5062560) - Deployment group 5",Brief explanation and category for this remediation item,Threat,347,533,-,-,2,2,3.5%,32%,Hybrid,Scan Engine
Security Update for Microsoft Office Compatibility Pack Service Pack 3 (KB4018354) - Campaign 6,High-level remediation summary text for this action,Misconfiguration,1179,2321,-,-,2,-,4.1%,67%,On-Premises,Cloud Connector
"2025-07 Cumulative Update for Microsoft Windows 10, version 1607 (KB5062560) - Deployment group 7",Suitable short description / category for this remediation,Misconfiguration,713,292,66,10,-,1,2.9%,62%,On-Premises,Manual Entry
Security Update for Microsoft Office Compatibility Pack Service Pack 3 (KB4018354) - Campaign 8,Short remediation description and category label for this action,Threat,800,301,72,1,2,2,1.2%,61%,On-Premises,SIEM
Upgrade requests to version 2.32.4 (batch 9),Brief explanation and category for this remediation item,Misconfiguration,926,1663,-,5,3,-,0.6%,90%,Hybrid,SIEM
Uninstall Apple Safari on Windows - Campaign 10,High-level remediation summary text for this action,Misconfiguration,87,640,30,-,3,2,1.0%,64%,Hybrid,Cloud Connector
Uninstall Apple Safari on Windows - Campaign 11,Suitable short description / category for this remediation,App Vulnerability,565,1623,-,3,1,1,1.7%,76%,Cloud,Cloud Connector
Upgrade to Adobe Flash version 23.0.0.162 for Windows (batch 12),High-level remediation summary text for this action,Threat,531,3390,-,-,-,2,1.1%,27%,Hybrid,Agent
Upgrade golang.org/x/net to version 0.38.0 (batch 13),Short remediation description and category label for this action,Vulnerability,474,3957,77,-,1,-,0.8%,66%,Cloud,Manual Entry
"2025-07 Cumulative Update for Microsoft Windows 10, version 1607 (KB5062560) - Deployment group 14",Short remediation description and category label for this action,Misconfiguration,537,2875,-,-,1,3,3.9%,28%,Hybrid,Cloud Connector
Upgrade glib2 to version 2.82.2-766.amzn2023 (batch 15),High-level remediation summary text for this action,App Vulnerability,382,2680,14,-,3,2,2.2%,66%,On-Premises,Cloud Connector
Upgrade to the latest version of Google Chrome - Wave 16,High-level remediation summary text for this action,App Vulnerability,1195,1214,-,4,-,3,2.3%,88%,Cloud,Scan Engine
Upgrade pip to version 23.3 (batch 17),Suitable short description / category for this remediation,Threat,1183,992,50,9,1,-,1.1%,62%,Cloud,SIEM
