finding_id,detection_id,cve_id,asset_id,source,proof,first_detected,reintroduced,last_detected,software_name,software_version
FIND-00001,DET-00006,CVE-2020-99792,ASSET-00089,Agent,Evidence of CVE-2020-99792 on ASSET-00089 via Agent,2025-01-21 04:31:15 AM,2025-03-01 04:31:15 AM,2025-04-02 04:31:15 AM,Chrome,8.2.4
FIND-00002,DET-00027,CVE-2024-55723,ASSET-00135,Manual,Evidence of CVE-2024-55723 on ASSET-00135 via Manual,2025-07-06 04:29:34 PM,2025-09-05 04:29:34 PM,2025-09-26 04:29:34 PM,OpenSSL,4.4.8
FIND-00003,DET-00006,CVE-2024-43723,ASSET-00027,InsightVM,Evidence of CVE-2024-43723 on ASSET-00027 via InsightVM,2025-07-10 02:02:30 AM,2025-10-06 02:02:30 AM,2025-10-23 02:02:30 AM,Docker Engine,12.20.6
FIND-00004,DET-00028,CVE-2020-25600,ASSET-00088,SIEM,Evidence of CVE-2020-25600 on ASSET-00088 via SIEM,2024-11-13 04:41:46 PM,,2025-02-14 04:41:46 PM,Docker Engine,12.5.1
FIND-00005,DET-00035,CVE-2017-39070,ASSET-00179,Agent,Evidence of CVE-2017-39070 on ASSET-00179 via Agent,2023-06-30 03:51:35 AM,,2023-07-25 03:51:35 AM,Chrome,6.2.6
FIND-00006,DET-00006,CVE-2017-78952,ASSET-00045,Scanner,Evidence of CVE-2017-78952 on ASSET-00045 via Scanner,2023-07-15 07:26:18 AM,2023-09-21 07:26:18 AM,2023-11-17 07:26:18 AM,Nginx,12.4.4
FIND-00007,DET-00031,CVE-2017-18046,ASSET-00079,Manual,Evidence of CVE-2017-18046 on ASSET-00079 via Manual,2023-09-04 03:38:00 AM,2023-11-06 03:38:00 AM,2023-12-11 03:38:00 AM,Nginx,11.7.0
FIND-00008,DET-00017,CVE-2022-03289,ASSET-00027,Agent,Evidence of CVE-2022-03289 on ASSET-00027 via Agent,2025-02-25 05:59:06 AM,2025-04-27 05:59:06 AM,2025-06-19 05:59:06 AM,Chrome,8.16.6
FIND-00009,DET-00022,CVE-2021-69511,ASSET-00146,SIEM,Evidence of CVE-2021-69511 on ASSET-00146 via SIEM,2025-04-20 02:35:59 AM,2025-07-02 02:35:59 AM,2025-07-13 02:35:59 AM,Ubuntu Linux,9.0.4
FIND-00010,DET-00028,CVE-2018-69854,ASSET-00102,InsightIDR,Evidence of CVE-2018-69854 on ASSET-00102 via InsightIDR,2025-09-27 12:30:10 AM,2025-10-04 12:30:10 AM,2025-10-21 12:30:10 AM,OpenSSL,7.12.2
FIND-00011,DET-00004,CVE-2014-26793,ASSET-00005,Scanner,Evidence of CVE-2014-26793 on ASSET-00005 via Scanner,2025-07-15 12:36:09 AM,,2025-08-02 12:36:09 AM,Firefox,15.0.0
FIND-00012,DET-00023,CVE-2020-75165,ASSET-00120,InsightVM,Evidence of CVE-2020-75165 on ASSET-00120 via InsightVM,2024-07-04 04:16:37 AM,2024-07-12 04:16:37 AM,2024-07-19 04:16:37 AM,PostgreSQL,12.8.10
